hash,satcomp-mallob,satcomp-prs-distributed,satcomp-solimul-cloud,aresult
53799aafcd0c684a2adc79400bd35f82,16.006,17.283,216.525,unsat
5437ba8972228ea5531a69a9aa064acc,55.503,30.15,282.639,unsat
54ab5a53d2fdfcda16ec74768b29f901,2000.0,2000.0,2000.0,unknown
558113ad4d50130351db8c426230a50f,57.664,20.503,51.228,unsat
558ce551d2b933b7a5f1c7d2a6044930,1.257,2000.0,2.842,unsat
571a2f223784fb92a53b4cc8cc8b569e,2.501,3.186,3.739,unsat
578b5e6a2f0b295168cb6c5420810a72,5.523,15.099,6.871,unsat
578f9377bfbfcc6ea3a18eb630667956,1.209,1.798,2.46,sat
57c305967b30c503da1737258e6cc7e5,24.608,57.828,37.579,unsat
587150fb7b12a6b5dd7e4a9446b9713b,1.297,1.615,2.967,sat
5918f1624d4dfd964227356786a4e9ec,2000.0,2000.0,2000.0,unknown
5a72cb588bcda7b1b54a1eac6b19ab2e,178.607,88.854,156.542,unsat
5b3d8a4465726adfcb58b9cdb1cc33f1,2000.0,2000.0,2000.0,unknown
5dc5185101e1d439d14f0a04acfa9bfb,283.618,346.411,2000.0,sat
5f6861053fb4ed4fc0b997cd6b505ef4,2000.0,2000.0,2000.0,unknown
62c763bdf8d351b15df3a4d62a03eba0,1.83,5.71,16.663,sat
63159b6b10c3d6832bd5944e05d78b11,1.273,11.097,2.448,sat
644fd765d26bd4a380922ccd0f594c58,50.488,1.116,124.696,unsat
6549f23728c52d5319f30371ff709622,103.074,2000.0,201.799,unsat
65b1e2253626af4a72b954f8186a5880,47.151,29.452,45.671,unsat
670a24d73dbadd3073e9604c6ef903d1,2000.0,2000.0,2000.0,unknown
67904554c73addf89fe675bd8e494641,2000.0,2000.0,2000.0,unknown
67a5b7ccde980b37576b993c79e176b0,162.592,84.06,146.05,unsat
685d37e93ba26197925353e58026ae10,63.434,36.078,51.809,unsat
68649ac2830edad5d0dc7e3d13935132,1.279,63.731,2.451,sat
6aacae96461cb65176942b6dc88ea470,586.645,1.139,2000.0,unsat
6b2ccabf0304af478a558b8a333ced32,2000.0,2000.0,2000.0,unknown
6bb485770dbc3943ea84933a03131958,53.744,28.887,312.606,unsat
6d67f76f114db9801952ed155e745e16,793.394,2000.0,2000.0,sat
6dca14e1af1795565d1e502ddc7d376b,63.935,47.16,66.959,unsat
6e31e88a5dadaa3876eb5ff4293134c2,138.269,78.472,142.429,unsat
6e5efd19744842d1fa5415173bffbf6b,2000.0,2000.0,2000.0,unknown
6e9cae5108bd423666c73aaace197769,2.971,3.191,2000.0,sat
705f6075b27775e03daf6e8d781cb953,4.195,6.622,7.065,unsat
70af2c3bfd44bcf9baa2a9605f4a17fe,2.68,3.809,4.255,unsat
70ce0cff914efdc48f2a8fe86b5c68c6,14.909,3.616,3.67,sat
711ff7681711949f44b07a0d530dc729,59.112,19.427,51.616,unsat
71270454196ae092b28d0a74300a85e1,18.477,38.49,20.715,unsat
71758ed7637888d4fd4593ec820677bc,1.269,11.354,2.371,sat
71bca76153c6ee65b72a517fd658a42d,1.311,1.801,2.566,sat
71cf538aa0751d27f144de9c8d82e458,58.86,2000.0,5.345,sat
71dbf7ab78ef93c3d491c67752f03fd1,2.888,3.838,4.689,unsat
727cd7c528ac106f134cc882c9202108,94.48,101.956,116.678,unsat
72b5ad031bf852634bc081f9da9a5a60,1.194,49.092,2.854,unsat
73063c6257a4ffc29f5bea7028403a64,1.738,3.697,3.68,sat
74931e82fd208ed949fa44bccd80df6b,3.398,45.974,4.583,sat
751402d0738e5622b599c651283cb48a,1.305,17.659,2.653,sat
751afd7ddf8f242ed7bd93517ba82149,323.952,1.258,2000.0,unsat
758f9ed67b4d2068c209157335e07266,565.456,131.657,2000.0,unsat
78d23f235b63b1b7f08eb1b6cfb03f34,283.519,703.905,2000.0,sat
