hash,AMSAT_,BreakID-kissat-low.sh,CaDiCaL_vivinst,Cadical_ESA,Cadical_rel_1.5.3.Scavel,IsaSAT,Kissat_Inc_ESA,Kissat_MAB_Binary,Kissat_MAB_Conflict,Kissat_MAB_Conflict+,Kissat_MAB_DeepWalk+,Kissat_MAB_ESA,Kissat_MAB_Rephases,Kissat_MAB_prop,Kissat_MAB_prop-no_sym,Kissat_MAB_prop_pr-no_sym,MapleCaDiCaL_LBD-990_275,MapleCaDiCaL_LBD-990_500,MapleCaDiCaL_PPD-500_500,MapleCaDiCaL_PPD-950_950,MergeSat-bve_gates,MergeSat-bve_semgates,MergeSat-thread1,MiniSat+XorEngine,PReLearn-kissat-PReLearn-kissat.sh,PReLearn-kissat-PReLearn-tern-kissat.sh,ReEncode-kissat-ReEncode-pair-kissat.sh,SBVA-sbva_cadical,SBVA-sbva_kissat,SeqFROST,SeqFROST-ERE-All,SeqFROST-NoExtend,hKis-psids,hKis-sat_psids,hKis-unsat,hKissatInc-unsat,kissat-3.1.0,kissat-hywalk-exp,kissat-hywalk-exp-gb,kissat-hywalk-gb,kissat_incsp,tabularasat-1.0.0,vresult
01dd5feb463fa80f73809718f6ff735b,484.114,10000.0,991.143,1178.7,1129.31,3631.81,132.765,118.514,120.096,135.864,129.954,122.699,137.023,122.947,150.056,151.181,1346.01,1472.32,1234.82,1256.72,735.264,537.598,594.087,10000.0,1553.8,1600.53,1297.52,539.356,604.209,162.39,172.025,168.968,68.913,172.073,149.339,69.3609,1157.42,129.984,124.548,133.089,129.757,778.203,unsat
02066c116dbacc40ec5cca2067db26c0,31.5077,14.5904,15.3601,25.444,56.6485,708.144,10.6968,11.5199,9.8002,9.03035,9.21629,11.4857,9.0839,10.422,10.3902,112.192,10.9441,11.7442,15.5646,14.6018,24.1581,13.8993,14.5251,10000.0,150.543,318.258,13.0904,10.4023,16.1953,12.9279,12.835,12.8824,8.7053,8.41115,9.00845,7.67531,14.349,14.0024,16.724,11.3194,8.84865,10.9565,unsat
028d0cc7af63e9bba5795f20e24db4f6,17.5165,24.2064,16.4797,5.53115,24.79,14.7181,13.1043,13.7457,20.3403,5.34851,14.0661,8.72155,14.0669,5.17801,5.17618,105.595,18.1303,41.9161,3.52098,3.66741,48.4271,60.9806,27.4762,122.325,102.688,305.547,4.21364,2.06472,5.97053,14.0725,14.0726,1.40326,8.65114,4.9611,9.60906,2.93598,2.74395,18.4651,7.43808,4.34978,13.526,5.5199,sat
0297c2a35f116ffd5382aea5b421e6df,10.8364,0.020598,16.4669,16.3324,11.4503,16.2262,1.63293,3.26627,2.8595,1.21034,1.50579,3.27839,2.88963,0.534884,2.00895,2.00531,17.6451,9.48643,2.41893,10.2005,4.9394,7.61898,4.91403,0.007222,2.97373,4.35458,4.08877,6.28084,4.42951,2.01295,2.02186,2.00956,49.3309,23.623,19.1267,50.6657,4.13687,3.14379,3.1639,1.13736,1.48856,7.5908,unsat
02c6fe8483e4f4474b7ac9731772535d,1962.7,10000.0,1028.79,1059.03,1099.49,10000.0,1491.15,377.078,396.603,396.351,476.351,397.672,397.124,2226.1,414.121,419.387,4882.95,10000.0,4192.64,4401.97,946.517,924.378,915.58,4646.2,508.293,509.808,423.245,100.638,490.283,10000.0,10000.0,10000.0,1022.03,680.995,325.288,1104.35,324.252,427.058,402.799,392.254,1059.32,362.027,unsat
0336f81b60baac5b8f481dd3c32861a5,122.271,868.261,10000.0,10000.0,387.163,2302.42,72.5108,110.909,24.0247,102.018,133.888,66.6963,24.2011,33.2823,33.9533,133.54,317.247,311.111,49.4369,4038.49,74.7503,477.276,77.2439,2034.44,773.972,654.552,609.688,138.777,131.975,72.9928,109.699,72.7018,4156.78,137.384,536.273,3173.96,137.765,93.313,438.468,258.771,23.5251,819.722,sat
036b541db9d0839b0591d408ff4f77ae,437.406,212.79,161.706,155.103,171.268,2104.11,199.927,160.23,149.211,150.782,156.314,203.208,150.95,194.514,158.409,158.63,167.325,171.297,180.304,200.488,843.491,665.323,666.346,10000.0,199.764,201.016,256.3,186.499,148.828,128.111,125.349,122.895,135.076,182.688,156.9,107.841,186.043,165.424,153.152,149.382,157.461,87.6492,unsat
037c423f56548082b1935e88c48ffdda,0.757852,0.089503,0.490271,0.490062,0.35285,1.6095,0.450787,0.411175,0.374785,0.375352,0.482534,0.48212,0.378462,0.993679,0.999288,3.87673,0.203169,0.240875,0.491563,0.370583,0.69711,0.078941,0.718902,0.228701,0.591159,300.558,0.352932,0.593673,0.636374,0.373496,0.374263,0.376302,0.79902,0.525419,0.311514,0.451102,0.582479,0.756121,0.853164,0.811037,0.310793,0.108658,sat
037d21e060a2e3eab8b080aa84ceee75,2.77166,3.78419,48.4467,11.2554,63.9981,5.07795,4.02034,5.99685,5.73648,3.41922,3.16589,4.30265,3.19874,1.79782,1.67232,103.048,0.708347,3.21724,3.48219,3.57822,2.78446,4.74603,2.64313,3.38828,113.761,301.656,14.6931,63.4206,60.6653,1.09392,1.11166,2.0782,71.4595,10.3022,0.539716,111.737,0.805918,4.12127,1.95154,3.80252,6.20216,1.80562,sat
03a43a7ea55217f53542ed3f029963af,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2986.74,2191.31,1715.51,1987.86,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4610.52,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,3333.21,10000.0,2854.29,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unsat
03de316ba1e90305471a3b8620cb9cd7,0.018335,0.480403,0.011611,0.009172,0.039334,0.00936,0.005577,0.005477,0.006295,0.006279,0.006368,0.006151,0.00633,0.547558,0.217271,0.221855,0.010146,0.009594,0.010437,0.010301,0.02116,0.022359,0.021837,0.078629,41.6183,41.5385,0.113901,0.262856,0.287971,0.018282,0.017003,0.017034,0.005804,0.005856,0.007067,0.006226,0.006408,0.006438,0.005905,0.006475,0.006496,0.180611,sat
03e9d1abe418a1727bbf2ead77d69d02,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown
06b138e8a6da806e88ac7da2919cef30,1151.49,10000.0,315.952,321.479,238.669,10000.0,191.054,338.423,285.051,273.288,299.47,184.52,274.079,251.553,238.62,241.325,268.061,272.598,307.677,466.046,2197.06,1060.38,2284.69,10000.0,474.008,10000.0,388.709,332.346,292.111,338.367,372.878,301.581,121.974,151.142,136.541,137.748,267.099,255.602,228.212,285.101,141.749,522.841,unsat
075ca0a158690a55b7254d9aaee2e103,194.325,226.828,228.104,228.455,239.91,10000.0,496.31,2935.97,454.364,1030.11,506.962,1547.25,458.627,594.563,580.527,566.003,298.389,273.688,243.881,271.648,391.642,549.387,409.774,10000.0,1411.76,1611.18,1282.63,235.249,1394.12,181.614,181.923,183.145,10000.0,478.029,486.892,10000.0,175.791,3496.85,597.853,601.609,1006.65,925.819,unsat
0811f761eee5e4ef28196fd98884a67b,2631.87,10000.0,3483.18,3628.7,3456.25,10000.0,4307.57,4092.22,3561.94,3817.2,3513.81,4410.43,3775.81,3064.31,3242.84,3279.96,3415.62,3583.03,3220.56,3087.32,10000.0,10000.0,10000.0,10000.0,3178.21,3305.95,3258.28,3402.52,3593.23,10000.0,10000.0,4925.48,3139.64,2560.1,2910.37,3051.79,10000.0,3702.63,3422.99,4325.79,3572.0,10000.0,unsat
