hash,dps-satcomp2023,gimsatul,mallob23-parallel-1,mallob23-parallel-2,nps-satcomp2023,pahkis23,pakisinc23,satcomp-mergesat,satcomp-nopre-prs,satcomp-pkisds,satcomp-pkisds-step,satcomp-pkissat,satcomp-pkissat-str,satcomp-prs,satcomp-solimul-parallel,aresult
91b88d172a08e2a57c189bddff51bfd5,431.983,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,62.458,10000.0,sat
92387c29e87aa857e84feb301f3d6aff,0.532,1.045,1.868,1.385,1.386,6.041,4.04,9.774,0.306,1.064,1.067,1.065,1.077,0.343,3.048,sat
92c17c00d862668de6e6c45d4eecdc75,1.6,2.395,1.597,1.396,4.696,1.039,1.039,61.933,0.481,1.059,1.059,1.06,1.072,0.428,1146.143,sat
92d6795785d35d1dcc42b15dc0e933d0,2.347,1.217,1.871,3.087,2.411,1.058,1.061,3.236,0.451,1.162,1.164,1.162,1.158,0.484,3.746,unsat
93a87994c03a7752f85d863239555d48,15.6,4.372,11.079,12.472,5.001,15.557,21.565,189.508,12.628,14.518,11.484,14.647,15.711,12.333,71.391,sat
945d67baeb7860df648ab6ef4782d5ed,1.038,4.131,1.374,2.367,1.336,9.037,5.035,103.833,15.384,6.053,3.052,9.056,8.061,17.638,11.147,sat
953e9ff735bdf5ada27b0ab2b908b6af,30.353,110.143,63.607,50.99,29.091,387.063,273.056,1475.995,375.274,318.089,308.086,124.069,122.08,106.318,90.707,unsat
9631e4082abf03e560b889c5715d3979,16.516,20.304,18.774,16.274,5.924,18.671,27.671,251.395,23.007,21.687,15.693,19.986,22.047,18.848,199.383,sat
964162c1faee2c1e3a4dfa4f9c75c34f,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown
965ca988015c9aee5a1a7b2136c1fe5d,885.984,10000.0,1458.18,1408.208,927.287,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4062.423,4086.524,0.065,0.652,unsat
96ae6bde39369f75aa975b0f5b74c325,29.656,27.32,12.468,102.452,106.588,795.396,329.343,231.567,115.024,4.665,2.654,32.834,2.811,403.428,31.468,sat
96e01064ac3b644143278c21859e201f,3.701,0.719,3.67,1.371,3.134,4.169,1.17,180.815,149.766,3.262,6.257,1.321,11.335,136.968,10000.0,sat
97a17306a2882e0fd1aa3981a267df0d,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown
9811b95bfd5888014d27e6dd384ff502,12.223,21.195,22.681,21.099,8.526,74.042,65.04,497.871,75.626,62.061,61.061,31.059,30.063,24.542,28.773,unsat
98c6da979a0a22d384d465a1da17111e,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,sat
99d134de6323a845a2828596a48bbb1d,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown
9a413c250f82a93d513d4092ba654ee2,124.939,34.391,116.76,183.238,91.947,348.199,213.146,372.858,173.537,57.567,62.586,17.529,17.526,214.371,50.88,unsat
9c7043290cee8127c3626d8067759267,32.619,57.925,31.667,27.088,28.911,140.046,154.077,750.698,51.919,105.065,105.061,65.064,65.07,50.366,148.841,unsat
9de6ddddf7fde06bf2efd955e2bd1a83,35.657,11.423,45.187,37.297,18.478,542.091,10000.0,36.523,130.43,1.074,1.074,1.074,1.094,458.847,0.749,sat
9e18c079efdc17ceade5c7a330b507d2,12.42,26.32,16.47,21.593,15.294,17.62,16.615,220.062,16.287,11.593,15.605,17.879,12.867,12.616,300.442,sat
9e7f2b92c6e46d03ddcafd798aa80cb6,388.602,380.314,398.355,179.142,183.375,131.591,146.67,10000.0,256.72,83.051,80.318,74.594,75.261,60.388,354.519,unsat
9f3ef12b5b68f92eb9265721ea73bb03,41.871,22.757,6.463,58.717,53.995,221.342,65.345,65.866,174.68,6.648,24.656,5.827,8.812,467.096,39.083,sat
9fe43145e48a0ef0096bb72531f1a0e3,10000.0,10000.0,10000.0,697.833,3227.188,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,53.84,10000.0,sat
a09a2d7397732447bdcc9651973767b7,1565.344,10000.0,3577.478,1187.888,909.706,10000.0,330.082,225.835,101.73,297.167,454.18,762.218,95.182,469.002,3708.089,sat
a0c7aea176b5a2b65c27c8af7039326b,382.411,187.802,344.041,452.553,366.412,259.244,254.235,10000.0,578.358,324.456,330.426,340.385,425.369,419.724,823.093,unsat
a1276d5dcb822aa03806df58fa9ca1c8,63.037,28.328,71.128,93.766,56.54,43.114,45.115,1880.227,50.949,52.61,49.602,46.572,43.56,53.5,108.612,unsat
a18b6fbdfee43c007e07dedf15477797,56.196,2.029,33.386,29.579,35.014,70.054,10000.0,37.594,2962.803,1.074,1.075,1.075,1.096,328.529,1.047,sat
a292411f3f563a47c05a78f8295163dc,818.027,652.426,961.428,434.053,547.793,284.765,258.084,10000.0,10000.0,122.582,116.434,93.384,91.107,114.622,581.772,unsat
a45b60e53917968f922b97c6f8aa8db3,50.174,116.977,71.508,102.244,44.325,74.041,99.042,485.375,70.406,64.053,70.054,60.053,62.058,76.868,71.997,unsat
